RSI_Buy,RSI_Sell,Timestamp,Trade_Type,Price,Amount
25,65,2025-07-21 16:20:00,BUY,117634.97,0.000849
25,65,2025-07-22 01:45:00,SELL,117810.75,0.000849
25,65,2025-07-23 03:50:00,BUY,118564.37,0.000842
25,65,2025-07-23 15:55:00,SELL,118567.39,0.000842
25,65,2025-07-24 04:40:00,BUY,117873.83,0.000845
25,65,2025-07-24 08:05:00,SELL,118591.89,0.000845
25,70,2025-07-21 16:20:00,BUY,117634.97,0.000849
25,70,2025-07-22 07:05:00,SELL,118116.34,0.000849
25,70,2025-07-23 03:50:00,BUY,118564.37,0.000844
25,70,2025-07-24 00:30:00,SELL,119087.01,0.000844
25,70,2025-07-24 04:40:00,BUY,117873.83,0.000851
25,75,2025-07-21 16:20:00,BUY,117634.97,0.000849
25,75,2025-07-22 07:10:00,SELL,118294.95,0.000849
25,75,2025-07-23 03:50:00,BUY,118564.37,0.000846
25,80,2025-07-21 16:20:00,BUY,117634.97,0.000849
25,80,2025-07-22 07:25:00,SELL,118572.59,0.000849
25,80,2025-07-23 03:50:00,BUY,118564.37,0.000848
25,85,2025-07-21 16:20:00,BUY,117634.97,0.000849
30,65,2025-07-21 16:15:00,BUY,117718.66,0.000849
30,65,2025-07-22 01:45:00,SELL,117810.75,0.000849
30,65,2025-07-22 14:00:00,BUY,117689.57,0.000848
30,65,2025-07-22 18:50:00,SELL,119985.99,0.000848
30,65,2025-07-23 03:40:00,BUY,118780.00,0.000855
30,65,2025-07-23 15:55:00,SELL,118567.39,0.000855
30,65,2025-07-24 04:05:00,BUY,118381.08,0.000854
30,65,2025-07-24 08:05:00,SELL,118591.89,0.000854
30,70,2025-07-21 16:15:00,BUY,117718.66,0.000849
30,70,2025-07-22 07:05:00,SELL,118116.34,0.000849
30,70,2025-07-22 14:00:00,BUY,117689.57,0.000850
30,70,2025-07-22 18:50:00,SELL,119985.99,0.000850
30,70,2025-07-23 03:40:00,BUY,118780.00,0.000857
30,70,2025-07-24 00:30:00,SELL,119087.01,0.000857
30,70,2025-07-24 04:05:00,BUY,118381.08,0.000860
30,75,2025-07-21 16:15:00,BUY,117718.66,0.000849
30,75,2025-07-22 07:10:00,SELL,118294.95,0.000849
30,75,2025-07-22 14:00:00,BUY,117689.57,0.000851
30,80,2025-07-21 16:15:00,BUY,117718.66,0.000849
30,80,2025-07-22 07:25:00,SELL,118572.59,0.000849
30,80,2025-07-22 14:00:00,BUY,117689.57,0.000853
30,85,2025-07-21 16:15:00,BUY,117718.66,0.000849
35,65,2025-07-21 16:05:00,BUY,118111.80,0.000846
35,65,2025-07-22 01:45:00,SELL,117810.75,0.000846
35,65,2025-07-22 03:15:00,BUY,116806.91,0.000851
35,65,2025-07-22 06:25:00,SELL,117709.69,0.000851
35,65,2025-07-22 13:50:00,BUY,118300.01,0.000845
35,65,2025-07-22 18:50:00,SELL,119985.99,0.000845
35,65,2025-07-23 02:00:00,BUY,119233.76,0.000849
35,65,2025-07-23 15:55:00,SELL,118567.39,0.000849
35,65,2025-07-23 20:30:00,BUY,117672.01,0.000854
35,65,2025-07-23 22:25:00,SELL,118611.04,0.000854
35,65,2025-07-24 03:55:00,BUY,118488.92,0.000853
35,65,2025-07-24 08:05:00,SELL,118591.89,0.000853
35,70,2025-07-21 16:05:00,BUY,118111.80,0.000846
35,70,2025-07-22 07:05:00,SELL,118116.34,0.000846
35,70,2025-07-22 13:50:00,BUY,118300.01,0.000843
35,70,2025-07-22 18:50:00,SELL,119985.99,0.000843
35,70,2025-07-23 02:00:00,BUY,119233.76,0.000846
35,70,2025-07-24 00:30:00,SELL,119087.01,0.000846
35,70,2025-07-24 03:55:00,BUY,118488.92,0.000849
35,75,2025-07-21 16:05:00,BUY,118111.80,0.000846
35,75,2025-07-22 07:10:00,SELL,118294.95,0.000846
35,75,2025-07-22 13:50:00,BUY,118300.01,0.000844
35,80,2025-07-21 16:05:00,BUY,118111.80,0.000846
35,80,2025-07-22 07:25:00,SELL,118572.59,0.000846
35,80,2025-07-22 13:50:00,BUY,118300.01,0.000846
35,85,2025-07-21 16:05:00,BUY,118111.80,0.000846
